نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
آباد,نسبت p/m=9.39*** distance =-89.77,2.95,15.69,-18.96,57.97,مین حجم ماه=46.33*** مین ارزش ماه =4.01***مین حجم ماه دو=24.48,خرید=0.71*** فروش =0.77
حآفرين,نسبت p/m=-35.69*** distance =-74.56,1.65,0.47,-35.76,38.86,مین حجم ماه=39.91*** مین ارزش ماه =5.11***مین حجم ماه دو=18.75,خرید=1.03*** فروش =1.04
كگهر,نسبت p/m=-101.47*** distance =-84.45,-3,10.01,-9.29,22.63,مین حجم ماه=23.28*** مین ارزش ماه =14.82***مین حجم ماه دو=4.69,خرید=1.38*** فروش =0.76
فولاي,نسبت p/m=82.63*** distance =-82.62,2.98,3.52,-24.16,19.73,مین حجم ماه=15.47*** مین ارزش ماه =7.13***مین حجم ماه دو=11.75,خرید=0.78*** فروش =1.13
فسازان,نسبت p/m=-54.40*** distance =-87.21,-2.99,6.65,-25.97,20.61,مین حجم ماه=28.83*** مین ارزش ماه =11.22***مین حجم ماه دو=8.03,خرید=1.44*** فروش =1.33
ثفارس,نسبت p/m=-360.52*** distance =-78.22,2.98,8.67,-29.34,35.71,مین حجم ماه=38.21*** مین ارزش ماه =58.60***مین حجم ماه دو=0.46,خرید=1.15*** فروش =0.93
شمس,نسبت p/m=103.95*** distance =-75.20,2.98,0.44,-36.59,35.74,مین حجم ماه=23.28*** مین ارزش ماه =9.30***مین حجم ماه دو=10.61,خرید=0.48*** فروش =0.53
وسپه,نسبت p/m=99.65*** distance =-85.40,2.92,1.12,-34.35,32.28,مین حجم ماه=31.88*** مین ارزش ماه =20.63***مین حجم ماه دو=23.11,خرید=0.83*** فروش =0.94
هرمز,نسبت p/m=51.55*** distance =-63.36,2.95,6.98,-17.75,48.54,مین حجم ماه=25.89*** مین ارزش ماه =3.55***مین حجم ماه دو=11.67,خرید=0.54*** فروش =0.57
شفارس,نسبت p/m=85.29*** distance =-51.08,2.98,11.68,-16.41,57.37,مین حجم ماه=52.07*** مین ارزش ماه =8.93***مین حجم ماه دو=25.26,خرید=0.79*** فروش =1.05
درازك,نسبت p/m=13.58*** distance =-87.74,2.93,86.86,-32.59,30.92,مین حجم ماه=36.74*** مین ارزش ماه =3.73***مین حجم ماه دو=11.13,خرید=1.13*** فروش =1.15
سخزر,نسبت p/m=82.17*** distance =-81.50,2.98,4.74,-14.31,21.26,مین حجم ماه=28.40*** مین ارزش ماه =12.50***مین حجم ماه دو=26.99,خرید=1.21*** فروش =1.19
وسين,نسبت p/m=-14.47*** distance =-90.16,-2.94,9.06,-17.51,10.36,مین حجم ماه=10.32*** مین ارزش ماه =1.41***مین حجم ماه دو=4.00,خرید=1.12*** فروش =1.04
بپاس,نسبت p/m=262.76*** distance =-66.29,-2.95,9.68,-15.42,36.58,مین حجم ماه=28.90*** مین ارزش ماه =21.05***مین حجم ماه دو=28.99,خرید=0.51*** فروش =1.31
وسديد,نسبت p/m=10.38*** distance =-94.29,2.96,0.00,-64.13,72.87,مین حجم ماه=67.06*** مین ارزش ماه =10.33***مین حجم ماه دو=41.27,خرید=1.01*** فروش =1.07
وليز,نسبت p/m=43.20*** distance =-82.86,2.98,0.04,-25.23,23.94,مین حجم ماه=21.81*** مین ارزش ماه =5.28***مین حجم ماه دو=12.94,خرید=0.74*** فروش =0.67
كاوه,نسبت p/m=-52.73*** distance =-84.91,0.99,5.04,-27.82,127.99,مین حجم ماه=65.81*** مین ارزش ماه =22.20***مین حجم ماه دو=22.36,خرید=0.56*** فروش =0.39
كقزوي,نسبت p/m=-2.20*** distance =-96.35,2.71,19.22,-25.21,53.09,مین حجم ماه=38.19*** مین ارزش ماه =2.14***مین حجم ماه دو=32.81,خرید=0.76*** فروش =0.79
خكار,نسبت p/m=30.15*** distance =-80.83,-0.12,0.24,-31.56,58.55,مین حجم ماه=39.44*** مین ارزش ماه =5.92***مین حجم ماه دو=18.15,خرید=0.84*** فروش =0.82
تايرا,نسبت p/m=-6.28*** distance =-98.22,0.29,27.84,-18.65,53.80,مین حجم ماه=55.47*** مین ارزش ماه =18.27***مین حجم ماه دو=15.08,خرید=0.88*** فروش =0.70
دماوند,نسبت p/m=-52.34*** distance =-93.74,3,2.19,-32.40,18.17,مین حجم ماه=18.30*** مین ارزش ماه =14.25***مین حجم ماه دو=6.24,خرید=1.05*** فروش =0.89
قزوين,نسبت p/m=161.71*** distance =-75.17,-2.91,2.40,-32.12,6.35,مین حجم ماه=3.62*** مین ارزش ماه =2.33***مین حجم ماه دو=1.95,خرید=0.75*** فروش =2.10
خديزل,نسبت p/m=-30.06*** distance =-80.12,0,4.65,-26.50,50.89,مین حجم ماه=49.05*** مین ارزش ماه =7.13***مین حجم ماه دو=27.26,خرید=1.14*** فروش =0.76
سرچشمه,نسبت p/m=41.58*** distance =-87.31,2.99,15.65,-27.91,28.58,مین حجم ماه=25.54*** مین ارزش ماه =8.12***مین حجم ماه دو=13.44,خرید=0.82*** فروش =0.70
وايران,نسبت p/m=-225.72*** distance =-77.09,-2.98,25.34,0.00,7.42,مین حجم ماه=5.83*** مین ارزش ماه =5.72***مین حجم ماه دو=3.61,خرید=0.46*** فروش =0.86
پكرمان,نسبت p/m=-296.13*** distance =-62.11,-0.39,9.73,-17.80,9.70,مین حجم ماه=10.17*** مین ارزش ماه =7.57***مین حجم ماه دو=7.01,خرید=2.88*** فروش =1.16
ختور,نسبت p/m=5.96*** distance =-96.78,3,9.20,-39.77,39.26,مین حجم ماه=30.18*** مین ارزش ماه =5.06***مین حجم ماه دو=12.30,خرید=0.91*** فروش =0.84
توسن,نسبت p/m=158.81*** distance =-67.58,2.99,15.90,-26.87,21.51,مین حجم ماه=13.90*** مین ارزش ماه =6.63***مین حجم ماه دو=10.72,خرید=0.67*** فروش =0.77
فولاژ,نسبت p/m=240.31*** distance =-31.50,0.11,8.84,-14.40,53.00,مین حجم ماه=23.10*** مین ارزش ماه =8.13***مین حجم ماه دو=2.88,خرید=0.39*** فروش =0.40
سپيد,نسبت p/m=426.09*** distance =-38.62,2.86,14.70,-2.57,10.03,مین حجم ماه=8.95*** مین ارزش ماه =6.51***مین حجم ماه دو=4.84,خرید=0.76*** فروش =0.88
خيمن,نسبت p/m=151.51*** distance =-63.76,0.74,2.15,-32.97,38.15,مین حجم ماه=24.18*** مین ارزش ماه =9.43***مین حجم ماه دو=16.06,خرید=0.64*** فروش =0.83
شپاكسا,نسبت p/m=-110.75*** distance =-46.68,-1.35,28.01,-2.05,31.87,مین حجم ماه=21.21*** مین ارزش ماه =4.30***مین حجم ماه دو=10.38,خرید=0.78*** فروش =0.63
كروميت,نسبت p/m=68.90*** distance =-83.46,2.98,10.01,-20.75,27.37,مین حجم ماه=18.63*** مین ارزش ماه =7.36***مین حجم ماه دو=9.12,خرید=0.74*** فروش =0.72
اتكاسا,نسبت p/m=-32.75*** distance =-87.70,-2.32,4.57,-12.23,7.06,مین حجم ماه=5.00*** مین ارزش ماه =1.32***مین حجم ماه دو=4.09,خرید=0.57*** فروش =1.31
حكشتي,نسبت p/m=-16.54*** distance =-97.01,2.95,26.09,-5.28,46.88,مین حجم ماه=58.96*** مین ارزش ماه =34.17***مین حجم ماه دو=29.50,خرید=0.88*** فروش =0.67
ولبهمن,نسبت p/m=49.05*** distance =-80.65,-0.87,7.71,-18.38,21.87,مین حجم ماه=17.22*** مین ارزش ماه =4.20***مین حجم ماه دو=5.19,خرید=0.46*** فروش =0.45
پرديس,نسبت p/m=34.85*** distance =-78.88,2.94,0.58,-25.22,29.83,مین حجم ماه=26.83*** مین ارزش ماه =4.24***مین حجم ماه دو=22.02,خرید=0.90*** فروش =0.98
غشهداب,نسبت p/m=7.74*** distance =-94.51,2.99,1.76,-26.35,22.01,مین حجم ماه=26.66*** مین ارزش ماه =3.55***مین حجم ماه دو=13.52,خرید=1.09*** فروش =1.01
وپست,نسبت p/m=129.72*** distance =-82.07,2.95,6.75,-32.61,17.62,مین حجم ماه=22.98*** مین ارزش ماه =15.42***مین حجم ماه دو=25.27,خرید=0.85*** فروش =0.89
شفام,نسبت p/m=-16.31*** distance =-91.64,2.99,9.73,-22.74,29.75,مین حجم ماه=23.93*** مین ارزش ماه =4.45***مین حجم ماه دو=7.49,خرید=0.63*** فروش =0.55
غبشهر,نسبت p/m=129.30*** distance =-48.13,2.97,0.00,-41.72,29.52,مین حجم ماه=17.97*** مین ارزش ماه =4.20***مین حجم ماه دو=7.53,خرید=0.58*** فروش =0.71
همراه,نسبت p/m=69.18*** distance =-84.74,2.99,0.45,-15.76,9.82,مین حجم ماه=11.49*** مین ارزش ماه =5.01***مین حجم ماه دو=6.74,خرید=0.81*** فروش =1.24
وسبحان,نسبت p/m=-47.41*** distance =-78.84,0.74,4.47,-15.31,40.90,مین حجم ماه=28.69*** مین ارزش ماه =6.34***مین حجم ماه دو=11.52,خرید=0.73*** فروش =0.63
حپارسا,نسبت p/m=339.15*** distance =-37.00,2.11,0.51,-24.28,6.76,مین حجم ماه=3.94*** مین ارزش ماه =2.08***مین حجم ماه دو=0.81,خرید=0.62*** فروش =1.68
