نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
آينده,نسبت p/m=-0.30*** distance =-99.93,24.19,-1.08,7.13,مین حجم ماه=2.40*** مین ارزش ماه =1.10***مین حجم ماه دو=0.20,خرید=0.29*** فروش =0.29
رمپنا,نسبت p/m=472.29*** distance =-64.46,23.71,-15.28,40.62,مین حجم ماه=22.66*** مین ارزش ماه =29.10***مین حجم ماه دو=27.42,خرید=0.57*** فروش =0.49
واتي,نسبت p/m=68.62*** distance =-82.71,2.59,-31.20,9.43,مین حجم ماه=8.48*** مین ارزش ماه =3.08***مین حجم ماه دو=6.38,خرید=1.19*** فروش =0.93
خيمن,نسبت p/m=152.04*** distance =-60.44,0.00,-27.38,22.58,مین حجم ماه=18.40*** مین ارزش ماه =6.74***مین حجم ماه دو=16.35,خرید=0.69*** فروش =0.93
لسرما,نسبت p/m=-27.48*** distance =-93.75,30.24,-8.77,9.77,مین حجم ماه=7.50*** مین ارزش ماه =3.41***مین حجم ماه دو=6.09,خرید=0.65*** فروش =0.64
تجلي,نسبت p/m=44.21*** distance =-69.42,7.10,-10.77,35.95,مین حجم ماه=20.92*** مین ارزش ماه =2.95***مین حجم ماه دو=6.40,خرید=0.44*** فروش =0.53
وسكاب,نسبت p/m=43.97*** distance =-82.36,2.02,-28.03,14.70,مین حجم ماه=10.45*** مین ارزش ماه =2.42***مین حجم ماه دو=4.44,خرید=0.82*** فروش =0.95
زفكا,نسبت p/m=60.04*** distance =-83.67,0.26,-17.96,22.59,مین حجم ماه=22.41*** مین ارزش ماه =8.19***مین حجم ماه دو=19.30,خرید=0.76*** فروش =0.98
مبين,نسبت p/m=-220.47*** distance =-80.90,1.56,-32.01,12.55,مین حجم ماه=17.79*** مین ارزش ماه =19.04***مین حجم ماه دو=13.17,خرید=1.50*** فروش =0.95
گدنا,نسبت p/m=7.71*** distance =-98.41,0.00,-29.39,22.41,مین حجم ماه=14.06*** مین ارزش ماه =6.58***مین حجم ماه دو=10.03,خرید=0.63*** فروش =0.63
اطلس,نسبت p/m=149.89*** distance =-97.81,0.93,-23.59,11.20,مین حجم ماه=10.34*** مین ارزش ماه =67.81***مین حجم ماه دو=5.70,خرید=0.85*** فروش =0.84
شمس,نسبت p/m=246.51*** distance =-37.15,1.34,-26.15,30.90,مین حجم ماه=17.10*** مین ارزش ماه =6.54***مین حجم ماه دو=12.11,خرید=0.54*** فروش =0.64
ثاميد,نسبت p/m=-42.87*** distance =-75.78,0.00,-27.07,19.37,مین حجم ماه=16.81*** مین ارزش ماه =2.80***مین حجم ماه دو=13.62,خرید=0.73*** فروش =0.86
شكام,نسبت p/m=66.02*** distance =-81.40,2.45,-12.33,31.76,مین حجم ماه=28.68*** مین ارزش ماه =10.01***مین حجم ماه دو=29.09,خرید=0.75*** فروش =0.84
كلر,نسبت p/m=-2.04*** distance =-99.62,89.98,-30.05,20.04,مین حجم ماه=17.14*** مین ارزش ماه =8.95***مین حجم ماه دو=9.42,خرید=0.79*** فروش =0.54
توسن,نسبت p/m=39.71*** distance =-91.76,21.91,-17.80,15.26,مین حجم ماه=10.19*** مین ارزش ماه =4.68***مین حجم ماه دو=13.17,خرید=0.61*** فروش =0.67
فسازان,نسبت p/m=22.01*** distance =-94.75,1.72,-41.46,24.51,مین حجم ماه=29.01*** مین ارزش ماه =10.91***مین حجم ماه دو=6.53,خرید=1.35*** فروش =1.15
كاما,نسبت p/m=16.42*** distance =-92.92,6.02,-33.37,89.76,مین حجم ماه=58.85*** مین ارزش ماه =12.63***مین حجم ماه دو=44.47,خرید=0.70*** فروش =0.75
هاي وب,نسبت p/m=17.65*** distance =-44.27,52.48,-23.99,394.09,مین حجم ماه=278.69*** مین ارزش ماه =8.53***مین حجم ماه دو=153.62,خرید=0.62*** فروش =0.75
وتوكا,نسبت p/m=-6.47*** distance =-97.67,0.84,-19.92,18.68,مین حجم ماه=26.84*** مین ارزش ماه =6.98***مین حجم ماه دو=6.70,خرید=1.19*** فروش =1.32
غپينو,نسبت p/m=22.26*** distance =-95.39,0.72,-25.88,13.43,مین حجم ماه=13.53*** مین ارزش ماه =6.14***مین حجم ماه دو=17.65,خرید=1.05*** فروش =1.05
ومهان,نسبت p/m=-3.26*** distance =-99.37,22.90,-7.63,10.40,مین حجم ماه=8.64*** مین ارزش ماه =4.44***مین حجم ماه دو=14.64,خرید=0.92*** فروش =0.97
بنيرو,نسبت p/m=109.68*** distance =-67.67,0.06,-29.65,16.43,مین حجم ماه=11.09*** مین ارزش ماه =3.58***مین حجم ماه دو=10.19,خرید=0.56*** فروش =0.85
وصنعت,نسبت p/m=-66.94*** distance =-61.89,0.05,-24.42,13.03,مین حجم ماه=13.99*** مین ارزش ماه =2.32***مین حجم ماه دو=10.26,خرید=1.09*** فروش =0.94
وبهمن,نسبت p/m=228.40*** distance =25.14,56.98,-22.49,37.70,مین حجم ماه=16.56*** مین ارزش ماه =3.14***مین حجم ماه دو=8.36,خرید=0.33*** فروش =0.42
خريخت,نسبت p/m=22.15*** distance =-77.44,9.89,-11.10,8.89,مین حجم ماه=6.54*** مین ارزش ماه =0.63***مین حجم ماه دو=3.51,خرید=0.74*** فروش =0.79
سبزوا,نسبت p/m=-86.63*** distance =-83.92,0.18,-24.83,9.47,مین حجم ماه=6.60*** مین ارزش ماه =3.38***مین حجم ماه دو=4.98,خرید=0.70*** فروش =0.73
ثنام,نسبت p/m=0.00*** distance =-100.00,20.60,-19.86,9.72,مین حجم ماه=8.95*** مین ارزش ماه =1.38***مین حجم ماه دو=5.97,خرید=0.95*** فروش =0.95
كوير,نسبت p/m=-32.02*** distance =-76.44,3.98,-21.11,12.94,مین حجم ماه=14.66*** مین ارزش ماه =1.88***مین حجم ماه دو=11.50,خرید=1.04*** فروش =0.90
قثابت,نسبت p/m=4.75*** distance =-97.33,0.00,-30.00,24.62,مین حجم ماه=18.81*** مین ارزش ماه =3.18***مین حجم ماه دو=18.45,خرید=0.77*** فروش =0.76
ختوقا,نسبت p/m=24.59*** distance =-93.07,12.14,-34.51,18.70,مین حجم ماه=15.87*** مین ارزش ماه =5.23***مین حجم ماه دو=13.33,خرید=0.81*** فروش =0.80
سبهان,نسبت p/m=42.20*** distance =-89.08,5.28,-18.83,6.02,مین حجم ماه=6.44*** مین ارزش ماه =2.39***مین حجم ماه دو=7.53,خرید=1.26*** فروش =1.30
ركيش,نسبت p/m=-14.65*** distance =-89.91,4.98,-21.03,10.57,مین حجم ماه=8.03*** مین ارزش ماه =1.11***مین حجم ماه دو=11.29,خرید=0.71*** فروش =0.80
ستران,نسبت p/m=171.23*** distance =-79.97,17.45,-17.96,12.90,مین حجم ماه=12.17*** مین ارزش ماه =9.99***مین حجم ماه دو=12.00,خرید=0.73*** فروش =1.04
دارو,نسبت p/m=68.92*** distance =-59.60,93.05,-35.23,30.74,مین حجم ماه=33.45*** مین ارزش ماه =5.18***مین حجم ماه دو=16.08,خرید=1.00*** فروش =1.27
بركت,نسبت p/m=65.18*** distance =-70.10,11.43,-26.20,59.41,مین حجم ماه=46.80*** مین ارزش ماه =9.62***مین حجم ماه دو=23.14,خرید=0.70*** فروش =0.77
زبينا,نسبت p/m=-45.04*** distance =-90.57,2.03,-29.97,7.21,مین حجم ماه=4.12*** مین ارزش ماه =1.87***مین حجم ماه دو=3.61,خرید=0.81*** فروش =0.73
پكوير,نسبت p/m=-92.70*** distance =-85.99,8.34,-21.82,10.75,مین حجم ماه=11.17*** مین ارزش ماه =6.98***مین حجم ماه دو=12.09,خرید=1.33*** فروش =0.99
شفام,نسبت p/m=-0.80*** distance =-99.58,15.68,-22.62,30.66,مین حجم ماه=20.03*** مین ارزش ماه =3.67***مین حجم ماه دو=8.20,خرید=0.68*** فروش =0.62
نان,نسبت p/m=-5.04*** distance =-98.42,12.09,-10.67,18.99,مین حجم ماه=18.56*** مین ارزش ماه =5.83***مین حجم ماه دو=29.16,خرید=0.96*** فروش =0.91
تاصيكو,نسبت p/m=-89.91*** distance =-91.77,5.17,-28.06,22.82,مین حجم ماه=35.87*** مین ارزش ماه =36.52***مین حجم ماه دو=16.89,خرید=0.95*** فروش =0.71
قچار,نسبت p/m=-107.88*** distance =-67.50,10.55,-29.41,12.81,مین حجم ماه=8.18*** مین ارزش ماه =2.60***مین حجم ماه دو=5.01,خرید=0.64*** فروش =0.64
سخزر,نسبت p/m=23.33*** distance =-94.64,9.56,-8.53,20.93,مین حجم ماه=26.84*** مین ارزش ماه =11.73***مین حجم ماه دو=28.54,خرید=0.99*** فروش =0.92
وملل,نسبت p/m=8.72*** distance =-96.22,7.08,-5.49,5.07,مین حجم ماه=9.04*** مین ارزش ماه =2.13***مین حجم ماه دو=13.80,خرید=2.13*** فروش =2.40
خموتور,نسبت p/m=283.20*** distance =-7.42,24.21,-27.64,18.74,مین حجم ماه=13.90*** مین ارزش ماه =4.09***مین حجم ماه دو=8.83,خرید=0.62*** فروش =0.95
سمگا,نسبت p/m=7.98*** distance =-97.31,19.38,-25.98,44.03,مین حجم ماه=35.56*** مین ارزش ماه =9.82***مین حجم ماه دو=49.47,خرید=0.74*** فروش =0.72
بمپنا,نسبت p/m=147.51*** distance =-64.80,0.00,-17.10,13.22,مین حجم ماه=11.20*** مین ارزش ماه =4.59***مین حجم ماه دو=6.71,خرید=0.55*** فروش =1.01
سيسكو,نسبت p/m=-43.72*** distance =-82.91,2.78,-31.34,42.80,مین حجم ماه=28.96*** مین ارزش ماه =6.80***مین حجم ماه دو=13.70,خرید=0.59*** فروش =0.65
خمهر,نسبت p/m=0.36*** distance =-99.82,9.73,-30.35,13.33,مین حجم ماه=15.45*** مین ارزش ماه =2.79***مین حجم ماه دو=12.89,خرید=1.04*** فروش =1.04
حتايد,نسبت p/m=192.13*** distance =-69.89,21.72,-20.14,18.13,مین حجم ماه=19.77*** مین ارزش ماه =12.36***مین حجم ماه دو=7.96,خرید=0.68*** فروش =0.89
فلوله,نسبت p/m=11.02*** distance =-95.35,43.57,-25.62,11.34,مین حجم ماه=12.55*** مین ارزش ماه =2.81***مین حجم ماه دو=10.66,خرید=1.02*** فروش =1.06
فصبا,نسبت p/m=50.95*** distance =-78.51,7.99,-18.63,22.22,مین حجم ماه=19.61*** مین ارزش ماه =4.46***مین حجم ماه دو=12.72,خرید=0.87*** فروش =1.06
ولپارس,نسبت p/m=209.83*** distance =-16.18,27.06,-12.77,7.84,مین حجم ماه=3.77*** مین ارزش ماه =0.95***مین حجم ماه دو=1.48,خرید=0.42*** فروش =0.52
ثفارس,نسبت p/m=-376.47*** distance =-74.93,16.81,-19.34,32.41,مین حجم ماه=31.13*** مین ارزش ماه =46.40***مین حجم ماه دو=0.34,خرید=0.76*** فروش =0.65
آردينه,نسبت p/m=221.62*** distance =-86.99,6.81,-11.61,10.25,مین حجم ماه=8.05*** مین ارزش ماه =13.94***مین حجم ماه دو=4.48,خرید=0.74*** فروش =0.78
شسپا,نسبت p/m=-76.40*** distance =-88.40,0.59,-27.79,21.12,مین حجم ماه=23.13*** مین ارزش ماه =14.45***مین حجم ماه دو=21.04,خرید=0.94*** فروش =0.85
دامين,نسبت p/m=255.71*** distance =-78.08,14.77,-7.69,10.27,مین حجم ماه=7.22*** مین ارزش ماه =8.41***مین حجم ماه دو=8.80,خرید=0.74*** فروش =0.69
غبشهر,نسبت p/m=89.76*** distance =-60.38,2.10,-26.99,9.03,مین حجم ماه=13.57*** مین ارزش ماه =2.86***مین حجم ماه دو=7.37,خرید=1.18*** فروش =1.76
دفارا,نسبت p/m=-0.50*** distance =-99.90,84.53,-19.52,11.86,مین حجم ماه=11.95*** مین ارزش ماه =5.59***مین حجم ماه دو=5.75,خرید=1.09*** فروش =0.94
غكورش,نسبت p/m=-44.02*** distance =-89.11,0.42,-24.10,13.14,مین حجم ماه=14.06*** مین ارزش ماه =5.40***مین حجم ماه دو=14.37,خرید=1.43*** فروش =1.05
غگل,نسبت p/m=-36.83*** distance =-90.61,7.46,-7.40,11.40,مین حجم ماه=13.04*** مین ارزش ماه =5.13***مین حجم ماه دو=17.10,خرید=0.92*** فروش =1.05
خنور,نسبت p/m=153.56*** distance =-91.99,5.20,-48.37,5.20,مین حجم ماه=5.00*** مین ارزش ماه =8.32***مین حجم ماه دو=4.26,خرید=1.17*** فروش =1.18
شستان,نسبت p/m=16.58*** distance =-87.47,22.41,-19.70,8.81,مین حجم ماه=7.08*** مین ارزش ماه =0.91***مین حجم ماه دو=3.97,خرید=0.79*** فروش =0.91
عاليس,نسبت p/m=37.27*** distance =-90.89,19.75,-19.07,12.77,مین حجم ماه=9.91*** مین ارزش ماه =3.95***مین حجم ماه دو=9.19,خرید=0.72*** فروش =0.81
غويتا,نسبت p/m=31.03*** distance =-85.74,13.31,-16.96,15.38,مین حجم ماه=8.81*** مین ارزش ماه =1.85***مین حجم ماه دو=15.50,خرید=0.64*** فروش =0.58
وپست,نسبت p/m=283.93*** distance =-59.59,6.88,-32.43,32.39,مین حجم ماه=22.55*** مین ارزش ماه =14.68***مین حجم ماه دو=26.99,خرید=0.59*** فروش =0.90
زنجان,نسبت p/m=-5.07*** distance =-95.36,22.64,-18.90,5.60,مین حجم ماه=6.48*** مین ارزش ماه =0.67***مین حجم ماه دو=7.30,خرید=1.20*** فروش =1.29
ورازي,نسبت p/m=-13.10*** distance =-84.27,0.11,-40.67,29.26,مین حجم ماه=34.38*** مین ارزش ماه =2.52***مین حجم ماه دو=15.63,خرید=1.18*** فروش =1.27
شكربن,نسبت p/m=-32.83*** distance =-95.41,16.95,-28.70,11.49,مین حجم ماه=9.76*** مین ارزش ماه =6.46***مین حجم ماه دو=5.82,خرید=1.00*** فروش =0.72
مهر,نسبت p/m=22.77*** distance =-93.23,7.84,-20.45,8.32,مین حجم ماه=11.14*** مین ارزش ماه =3.65***مین حجم ماه دو=10.17,خرید=1.46*** فروش =1.28
فسرب,نسبت p/m=4.26*** distance =-95.99,21.46,-25.52,17.06,مین حجم ماه=12.09*** مین ارزش ماه =1.34***مین حجم ماه دو=19.02,خرید=0.63*** فروش =0.67
خودكفا,نسبت p/m=-236.29*** distance =-60.08,15.11,-29.83,11.43,مین حجم ماه=8.35*** مین ارزش ماه =4.71***مین حجم ماه دو=8.67,خرید=0.68*** فروش =0.76
شفن,نسبت p/m=-27.23*** distance =-94.40,9.32,-29.38,30.06,مین حجم ماه=18.24*** مین ارزش ماه =8.37***مین حجم ماه دو=11.79,خرید=0.58*** فروش =0.52
قرن,نسبت p/m=376.70*** distance =-70.33,2.09,-13.93,6.12,مین حجم ماه=5.43*** مین ارزش ماه =6.79***مین حجم ماه دو=2.96,خرید=1.02*** فروش =1.67
وآفري,نسبت p/m=-221.23*** distance =-26.32,0.10,-22.95,4.26,مین حجم ماه=2.91*** مین ارزش ماه =0.84***مین حجم ماه دو=1.30,خرید=1.35*** فروش =0.85
خكرمان,نسبت p/m=114.58*** distance =-70.62,0.84,-17.73,13.28,مین حجم ماه=9.38*** مین ارزش ماه =3.57***مین حجم ماه دو=8.06,خرید=0.49*** فروش =0.70
فسوژ,نسبت p/m=-14.97*** distance =-96.60,1.33,-27.76,9.41,مین حجم ماه=7.19*** مین ارزش ماه =2.97***مین حجم ماه دو=5.59,خرید=0.69*** فروش =0.67
وهور,نسبت p/m=71.72*** distance =-55.62,11.00,-7.04,4.77,مین حجم ماه=4.41*** مین ارزش ماه =0.71***مین حجم ماه دو=4.33,خرید=0.80*** فروش =1.27
شسينا,نسبت p/m=-76.23*** distance =-71.53,3.49,-25.99,9.60,مین حجم ماه=9.17*** مین ارزش ماه =2.26***مین حجم ماه دو=8.63,خرید=0.89*** فروش =0.86
حتوكا,نسبت p/m=99.83*** distance =-53.41,3.96,-12.29,5.03,مین حجم ماه=3.65*** مین ارزش ماه =0.78***مین حجم ماه دو=5.91,خرید=0.94*** فروش =0.85
والبر,نسبت p/m=11.31*** distance =-93.73,8.99,-19.17,22.20,مین حجم ماه=15.41*** مین ارزش ماه =2.70***مین حجم ماه دو=11.07,خرید=0.53*** فروش =0.65
شاملا,نسبت p/m=-213.78*** distance =-86.10,0.06,-22.27,5.49,مین حجم ماه=6.36*** مین ارزش ماه =9.31***مین حجم ماه دو=3.17,خرید=0.90*** فروش =0.82
وتوسم,نسبت p/m=176.38*** distance =-29.88,0.00,-30.07,6.72,مین حجم ماه=5.20*** مین ارزش ماه =1.24***مین حجم ماه دو=3.13,خرید=0.83*** فروش =0.82
ساوه,نسبت p/m=234.19*** distance =-72.03,11.53,-9.51,6.81,مین حجم ماه=6.49*** مین ارزش ماه =5.43***مین حجم ماه دو=6.28,خرید=0.77*** فروش =0.81
تليسه,نسبت p/m=1.86*** distance =-99.50,6.36,-22.28,10.83,مین حجم ماه=7.46*** مین ارزش ماه =2.61***مین حجم ماه دو=5.00,خرید=0.72*** فروش =0.69
كايزد,نسبت p/m=77.95*** distance =-84.44,25.64,-8.35,18.37,مین حجم ماه=13.50*** مین ارزش ماه =6.85***مین حجم ماه دو=1.49,خرید=0.60*** فروش =0.64
فن افزار,نسبت p/m=-76.25*** distance =-82.26,2.47,-19.59,20.86,مین حجم ماه=18.13*** مین ارزش ماه =7.47***مین حجم ماه دو=17.88,خرید=0.63*** فروش =0.69
سپاها,نسبت p/m=401.61*** distance =-78.81,4.51,-20.97,7.73,مین حجم ماه=7.36*** مین ارزش ماه =13.33***مین حجم ماه دو=10.11,خرید=1.08*** فروش =1.10
بفجر,نسبت p/m=182.39*** distance =-86.17,14.18,-23.61,10.20,مین حجم ماه=11.64*** مین ارزش ماه =14.86***مین حجم ماه دو=6.00,خرید=1.20*** فروش =1.14
كيميا,نسبت p/m=-27.18*** distance =-88.05,0.50,-37.38,11.18,مین حجم ماه=8.97*** مین ارزش ماه =1.86***مین حجم ماه دو=3.37,خرید=0.70*** فروش =0.68
وامير,نسبت p/m=-2.44*** distance =-99.27,0.63,-37.98,8.71,مین حجم ماه=9.33*** مین ارزش ماه =2.91***مین حجم ماه دو=4.91,خرید=1.08*** فروش =1.10
مهرمام,نسبت p/m=41.26*** distance =-92.09,1.46,-26.29,20.97,مین حجم ماه=13.58*** مین ارزش ماه =6.79***مین حجم ماه دو=10.70,خرید=0.75*** فروش =0.78
وتوصا,نسبت p/m=17.54*** distance =-89.72,0.51,-21.39,13.26,مین حجم ماه=12.66*** مین ارزش ماه =2.08***مین حجم ماه دو=11.24,خرید=0.64*** فروش =0.83
آسيا,نسبت p/m=-17.90*** distance =-87.64,0.52,-26.17,24.88,مین حجم ماه=14.82*** مین ارزش ماه =2.06***مین حجم ماه دو=10.43,خرید=0.62*** فروش =0.62
وهامون,نسبت p/m=2.37*** distance =-98.34,2.75,-23.34,12.70,مین حجم ماه=13.82*** مین ارزش ماه =1.83***مین حجم ماه دو=9.26,خرید=0.94*** فروش =0.99
كمنگنز,نسبت p/m=419.54*** distance =15.29,0.00,-29.53,4.06,مین حجم ماه=2.89*** مین ارزش ماه =1.01***مین حجم ماه دو=2.92,خرید=0.84*** فروش =1.96
همراه,نسبت p/m=93.30*** distance =-78.91,2.42,-13.01,11.92,مین حجم ماه=10.28*** مین ارزش ماه =4.40***مین حجم ماه دو=7.08,خرید=0.72*** فروش =1.26
فباهنر,نسبت p/m=-56.45*** distance =-91.45,5.17,-29.16,61.10,مین حجم ماه=42.10*** مین ارزش ماه =25.85***مین حجم ماه دو=29.34,خرید=0.69*** فروش =0.69
سشرق,نسبت p/m=-62.25*** distance =-96.22,6.25,-14.41,9.32,مین حجم ماه=6.85*** مین ارزش ماه =11.06***مین حجم ماه دو=9.93,خرید=0.69*** فروش =0.80
نيان,نسبت p/m=-12.19*** distance =-98.10,23.50,-14.09,22.12,مین حجم ماه=29.19*** مین ارزش ماه =18.32***مین حجم ماه دو=8.61,خرید=1.00*** فروش =0.74
تاپيكو,نسبت p/m=-143.50*** distance =-91.55,3.06,-23.99,14.79,مین حجم ماه=22.95*** مین ارزش ماه =37.03***مین حجم ماه دو=12.92,خرید=1.72*** فروش =1.22
شپترو,نسبت p/m=12.02*** distance =-88.27,12.18,-18.69,15.19,مین حجم ماه=17.65*** مین ارزش ماه =1.71***مین حجم ماه دو=6.81,خرید=1.11*** فروش =0.99
فرابورس,نسبت p/m=-14.02*** distance =-96.33,21.29,-17.43,38.63,مین حجم ماه=42.23*** مین ارزش ماه =15.80***مین حجم ماه دو=31.11,خرید=0.87*** فروش =0.81
كپشير,نسبت p/m=47.60*** distance =-93.43,48.50,-31.09,15.79,مین حجم ماه=11.30*** مین ارزش ماه =7.41***مین حجم ماه دو=4.77,خرید=0.81*** فروش =0.75
كماسه,نسبت p/m=62.60*** distance =-80.73,31.64,-26.21,32.63,مین حجم ماه=29.72*** مین ارزش ماه =9.20***مین حجم ماه دو=17.58,خرید=0.75*** فروش =0.79
وثنو,نسبت p/m=-132.59*** distance =-56.83,2.49,-26.22,13.40,مین حجم ماه=9.03*** مین ارزش ماه =2.63***مین حجم ماه دو=8.04,خرید=0.62*** فروش =0.65
غشهداب,نسبت p/m=-2.53*** distance =-98.12,4.39,-21.55,41.97,مین حجم ماه=24.38*** مین ارزش ماه =3.16***مین حجم ماه دو=14.32,خرید=0.57*** فروش =0.53
وفتخار,نسبت p/m=30.75*** distance =-83.09,36.84,-4.96,49.95,مین حجم ماه=16.89*** مین ارزش ماه =3.03***مین حجم ماه دو=7.60,خرید=0.26*** فروش =0.26
كاذر,نسبت p/m=70.28*** distance =-78.17,0.33,-24.76,4.27,مین حجم ماه=5.34*** مین ارزش ماه =1.61***مین حجم ماه دو=5.14,خرید=1.05*** فروش =1.37
خمحركه,نسبت p/m=-18.65*** distance =-94.97,19.79,-25.12,16.13,مین حجم ماه=12.09*** مین ارزش ماه =4.25***مین حجم ماه دو=10.78,خرید=0.71*** فروش =0.69
شبصير,نسبت p/m=-151.39*** distance =-86.60,4.10,-28.71,7.66,مین حجم ماه=6.98*** مین ارزش ماه =7.17***مین حجم ماه دو=4.01,خرید=0.76*** فروش =0.73
فنوال,نسبت p/m=53.73*** distance =-92.80,0.13,-27.10,8.84,مین حجم ماه=7.62*** مین ارزش ماه =5.39***مین حجم ماه دو=6.05,خرید=0.84*** فروش =0.78
بكام,نسبت p/m=5.18*** distance =-97.94,13.49,-27.46,17.56,مین حجم ماه=16.55*** مین ارزش ماه =3.94***مین حجم ماه دو=6.81,خرید=0.66*** فروش =0.70
فاما,نسبت p/m=168.34*** distance =-47.98,14.16,-18.05,9.64,مین حجم ماه=5.45*** مین ارزش ماه =1.73***مین حجم ماه دو=1.84,خرید=0.53*** فروش =0.57
بمولد,نسبت p/m=241.56*** distance =-53.49,0.55,-17.77,12.01,مین حجم ماه=6.13*** مین ارزش ماه =3.15***مین حجم ماه دو=6.42,خرید=0.41*** فروش =0.48
دبالك,نسبت p/m=2.55*** distance =-99.21,0.74,-18.93,5.71,مین حجم ماه=6.18*** مین ارزش ماه =1.92***مین حجم ماه دو=3.97,خرید=1.08*** فروش =1.40
ولغدر,نسبت p/m=-166.87*** distance =-27.25,14.49,-5.36,16.17,مین حجم ماه=11.73*** مین ارزش ماه =2.75***مین حجم ماه دو=4.89,خرید=0.35*** فروش =0.47
خفنر,نسبت p/m=2.58*** distance =-97.96,55.18,-14.33,13.10,مین حجم ماه=17.29*** مین ارزش ماه =2.18***مین حجم ماه دو=5.37,خرید=1.03*** فروش =1.08
سخواف,نسبت p/m=-1.18*** distance =-99.24,3.98,-21.63,5.45,مین حجم ماه=3.83*** مین ارزش ماه =0.58***مین حجم ماه دو=2.47,خرید=0.65*** فروش =0.65
وكار,نسبت p/m=112.14*** distance =-61.26,6.22,-6.33,10.32,مین حجم ماه=5.12*** مین ارزش ماه =1.49***مین حجم ماه دو=2.25,خرید=0.38*** فروش =0.46
دلقما,نسبت p/m=36.62*** distance =-84.47,3.84,-27.14,27.50,مین حجم ماه=32.79*** مین ارزش ماه =7.29***مین حجم ماه دو=18.39,خرید=1.03*** فروش =1.24
تيپيكو,نسبت p/m=1833.18*** distance =-27.34,7.68,-25.36,11.80,مین حجم ماه=6.40*** مین ارزش ماه =15.71***مین حجم ماه دو=1.66,خرید=0.49*** فروش =0.65
شبهرن,نسبت p/m=321.79*** distance =-79.58,0.00,-19.26,8.79,مین حجم ماه=10.84*** مین ارزش ماه =16.49***مین حجم ماه دو=5.89,خرید=0.97*** فروش =1.32
بكابل,نسبت p/m=330.11*** distance =-32.71,0.00,-21.54,7.14,مین حجم ماه=4.34*** مین ارزش ماه =2.08***مین حجم ماه دو=2.59,خرید=0.53*** فروش =0.72
وجامي,نسبت p/m=-21.25*** distance =-85.33,0.39,-26.06,24.40,مین حجم ماه=16.75*** مین ارزش ماه =2.38***مین حجم ماه دو=7.62,خرید=0.61*** فروش =0.67
ومعلم,نسبت p/m=177.76*** distance =-27.16,16.62,-11.57,6.77,مین حجم ماه=3.89*** مین ارزش ماه =0.96***مین حجم ماه دو=3.79,خرید=0.46*** فروش =0.53
وبوعلي,نسبت p/m=-61.57*** distance =-64.87,0.06,-26.03,5.47,مین حجم ماه=6.59*** مین ارزش ماه =1.08***مین حجم ماه دو=4.43,خرید=1.56*** فروش =0.92
خبرنا,نسبت p/m=82.77*** distance =-87.61,0.58,-22.64,12.44,مین حجم ماه=8.70*** مین ارزش ماه =5.57***مین حجم ماه دو=5.01,خرید=0.54*** فروش =0.63
كلوند,نسبت p/m=154.46*** distance =-59.86,40.77,-26.54,6.71,مین حجم ماه=6.50*** مین ارزش ماه =2.35***مین حجم ماه دو=4.77,خرید=0.93*** فروش =1.14
ما,نسبت p/m=-29.66*** distance =-85.60,31.93,-20.35,6.70,مین حجم ماه=17.18*** مین ارزش ماه =3.46***مین حجم ماه دو=2.31,خرید=2.60*** فروش =1.28
ناما,نسبت p/m=804.67*** distance =116.47,69.09,-17.62,3.53,مین حجم ماه=1.43*** مین ارزش ماه =0.54***مین حجم ماه دو=0.91,خرید=0.31*** فروش =0.45
ختور,نسبت p/m=5.95*** distance =-96.53,16.33,-31.19,31.35,مین حجم ماه=25.83*** مین ارزش ماه =4.13***مین حجم ماه دو=12.45,خرید=0.80*** فروش =0.77
غدشت,نسبت p/m=53.97*** distance =-83.12,1.02,-24.79,11.74,مین حجم ماه=6.78*** مین ارزش ماه =2.11***مین حجم ماه دو=2.43,خرید=0.52*** فروش =0.55
كترام,نسبت p/m=-2.74*** distance =-98.57,51.98,-13.93,9.75,مین حجم ماه=8.93*** مین ارزش ماه =1.66***مین حجم ماه دو=5.69,خرید=0.84*** فروش =0.78
وبشهر,نسبت p/m=-31.25*** distance =-94.46,6.98,-25.72,10.55,مین حجم ماه=7.82*** مین ارزش ماه =4.13***مین حجم ماه دو=6.10,خرید=0.68*** فروش =0.78
مداران,نسبت p/m=-16.60*** distance =-95.02,23.06,-16.73,5.13,مین حجم ماه=3.17*** مین ارزش ماه =1.04***مین حجم ماه دو=1.05,خرید=0.57*** فروش =0.66
سليم,نسبت p/m=-14.90*** distance =-90.87,11.90,-27.61,19.40,مین حجم ماه=16.30*** مین ارزش ماه =2.49***مین حجم ماه دو=12.59,خرید=0.81*** فروش =0.82
غسالم,نسبت p/m=-89.30*** distance =-77.43,1.00,-18.09,7.30,مین حجم ماه=7.70*** مین ارزش ماه =2.97***مین حجم ماه دو=6.43,خرید=1.10*** فروش =0.89
اعتلا,نسبت p/m=-7.77*** distance =-94.98,0.94,-13.78,4.44,مین حجم ماه=5.37*** مین ارزش ماه =0.81***مین حجم ماه دو=4.31,خرید=1.09*** فروش =1.16
فغدير,نسبت p/m=261.14*** distance =-42.17,12.33,-12.90,17.73,مین حجم ماه=10.53*** مین ارزش ماه =4.63***مین حجم ماه دو=4.38,خرید=0.35*** فروش =0.37
