نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
ورنا,نسبت p/m=109.93*** distance =-80.49,0.00,-37.79,85.48,مین حجم ماه=69.46*** مین ارزش ماه =36.46***مین حجم ماه دو=32.46,خرید=0.85*** فروش =0.79
ومعادن,نسبت p/m=-35.74*** distance =-82.26,3.78,-33.62,192.59,مین حجم ماه=213.91*** مین ارزش ماه =40.50***مین حجم ماه دو=77.06,خرید=1.29*** فروش =0.68
كالا,نسبت p/m=-87.63*** distance =-87.21,19.43,-39.92,73.20,مین حجم ماه=79.86*** مین ارزش ماه =50.58***مین حجم ماه دو=49.99,خرید=1.32*** فروش =1.11
تايرا,نسبت p/m=80.70*** distance =-76.67,26.07,-21.55,68.78,مین حجم ماه=55.11*** مین ارزش ماه =18.04***مین حجم ماه دو=14.96,خرید=0.69*** فروش =0.78
كماسه,نسبت p/m=62.57*** distance =-81.26,30.00,-29.00,38.85,مین حجم ماه=31.59*** مین ارزش ماه =9.93***مین حجم ماه دو=18.70,خرید=0.87*** فروش =0.95
بركت,نسبت p/m=57.98*** distance =-73.91,9.41,-29.09,65.05,مین حجم ماه=50.48*** مین ارزش ماه =10.49***مین حجم ماه دو=22.62,خرید=0.83*** فروش =0.92
شيران,نسبت p/m=-15.72*** distance =-97.06,14.69,-15.46,73.20,مین حجم ماه=108.42*** مین ارزش ماه =55.20***مین حجم ماه دو=25.72,خرید=1.10*** فروش =1.15
نوين,نسبت p/m=58.16*** distance =-66.71,0.11,-37.93,38.57,مین حجم ماه=25.13*** مین ارزش ماه =4.24***مین حجم ماه دو=14.99,خرید=0.72*** فروش =0.76
فرود,نسبت p/m=101.81*** distance =-63.52,2.88,-33.86,41.65,مین حجم ماه=21.74*** مین ارزش ماه =5.69***مین حجم ماه دو=6.43,خرید=0.61*** فروش =0.65
وساپا,نسبت p/m=160.52*** distance =-65.74,0.00,-44.82,247.99,مین حجم ماه=162.39*** مین ارزش ماه =74.79***مین حجم ماه دو=97.18,خرید=0.61*** فروش =0.64
